(yolo) D:\WorkSpace\LPRNET\LPRNet_Pytorch>python train_LPRNet.py ^
More?       --train_img_dirs "D:\WorkSpace\LPRNET\CCPD_YOLO_POSE_LPRNet_Aligned\train" ^
More?       --test_img_dirs "D:\WorkSpace\LPRNET\CCPD_YOLO_POSE_LPRNet_Aligned\val" ^
More?       --max_epoch 100 ^
More?       --train_batch_size 32 ^
More?       --learning_rate 0.01 ^
More?       --lr_schedule 20 40 60 80 ^
More?       --save_folder "./weights"
Successful to build network!
initial net weights successful!
Epoch:2 || epochiter: 69/831|| Totel iter 900 || Loss: 2.4157||Batch time: 0.0126 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 89/831|| Totel iter 920 || Loss: 2.4589||Batch time: 0.0134 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 109/831|| Totel iter 940 || Loss: 2.3710||Batch time: 0.0130 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 129/831|| Totel iter 960 || Loss: 2.2735||Batch time: 0.0133 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 149/831|| Totel iter 980 || Loss: 2.2364||Batch time: 0.0135 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 169/831|| Totel iter 1000 || Loss: 2.2670||Batch time: 0.0127 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 189/831|| Totel iter 1020 || Loss: 2.2319||Batch time: 0.0128 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 209/831|| Totel iter 1040 || Loss: 2.2727||Batch time: 0.0127 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 229/831|| Totel iter 1060 || Loss: 2.5669||Batch time: 0.0132 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 249/831|| Totel iter 1080 || Loss: 2.9998||Batch time: 0.0132 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 269/831|| Totel iter 1100 || Loss: 2.6432||Batch time: 0.0130 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 289/831|| Totel iter 1120 || Loss: 2.6420||Batch time: 0.0135 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 309/831|| Totel iter 1140 || Loss: 2.5955||Batch time: 0.0140 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 329/831|| Totel iter 1160 || Loss: 2.4127||Batch time: 0.0133 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 349/831|| Totel iter 1180 || Loss: 2.3735||Batch time: 0.0133 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 369/831|| Totel iter 1200 || Loss: 2.1528||Batch time: 0.0138 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 389/831|| Totel iter 1220 || Loss: 2.4404||Batch time: 0.0142 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 409/831|| Totel iter 1240 || Loss: 2.5410||Batch time: 0.0132 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 429/831|| Totel iter 1260 || Loss: 2.0869||Batch time: 0.0131 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 449/831|| Totel iter 1280 || Loss: 2.0579||Batch time: 0.0128 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 469/831|| Totel iter 1300 || Loss: 2.0993||Batch time: 0.0134 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 489/831|| Totel iter 1320 || Loss: 2.1752||Batch time: 0.0135 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 509/831|| Totel iter 1340 || Loss: 2.2690||Batch time: 0.0128 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 529/831|| Totel iter 1360 || Loss: 2.0120||Batch time: 0.0128 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 549/831|| Totel iter 1380 || Loss: 1.9933||Batch time: 0.0128 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 569/831|| Totel iter 1400 || Loss: 2.2813||Batch time: 0.0128 sec. ||LR: 0.01000000
Epoch:2 || epochiter: 589/831|| Totel iter 1420 || Loss: 2.2167||Batch time: 0.0129 sec. ||LR: 0.01000000
